time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-30 00:00:00+00:00,9,4,31,12
2025-05-01 00:00:00+00:00,7,4,52,10
2025-05-02 00:00:00+00:00,10,5,43,13
2025-05-03 00:00:00+00:00,7,5,5,4
2025-05-04 00:00:00+00:00,11,7,9,8
2025-05-05 00:00:00+00:00,5,3,39,21
2025-05-06 00:00:00+00:00,12,7,31,15
2025-05-07 00:00:00+00:00,2,2,36,13
2025-05-08 00:00:00+00:00,13,5,28,17
2025-05-09 00:00:00+00:00,10,6,42,19
2025-05-10 00:00:00+00:00,9,5,27,10
2025-05-11 00:00:00+00:00,4,4,30,17
2025-05-12 00:00:00+00:00,15,6,31,23
2025-05-13 00:00:00+00:00,3,2,34,21
