referrer,views_total,views_unique
Google,120,42
github.com,62,23
time-series-features.gitbook.io,27,8
Bing,16,3
tsfresh.readthedocs.io,11,8
opentimeseries.com,11,4
medium.com,8,3
benfulcher.github.io,8,3
chatgpt.com,5,3
search.brave.com,4,1
