time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-13 00:00:00+00:00,7,3,27,11
2025-03-14 00:00:00+00:00,6,3,18,16
2025-03-15 00:00:00+00:00,10,3,13,10
2025-03-16 00:00:00+00:00,8,4,19,7
2025-03-17 00:00:00+00:00,11,4,46,22
2025-03-18 00:00:00+00:00,1,1,36,25
2025-03-19 00:00:00+00:00,10,4,47,11
2025-03-20 00:00:00+00:00,5,3,29,10
2025-03-21 00:00:00+00:00,6,4,36,15
2025-03-22 00:00:00+00:00,8,4,24,7
2025-03-23 00:00:00+00:00,6,3,22,12
2025-03-24 00:00:00+00:00,9,3,25,15
2025-03-25 00:00:00+00:00,5,3,35,25
2025-03-26 00:00:00+00:00,5,1,28,20
