referrer,views_total,views_unique
Google,114,62
github.com,58,32
time-series-features.gitbook.io,21,12
medium.com,8,6
chatgpt.com,8,4
tsfresh.readthedocs.io,7,4
link.zhihu.com,5,3
paperswithcode.com,5,3
sciencedirect.com,4,4
wiki.iis.uj.edu.pl,3,2
