time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-14 00:00:00+00:00,10.0,3.0,39,22
2025-04-15 00:00:00+00:00,4.0,4.0,23,14
2025-04-16 00:00:00+00:00,11.0,4.0,42,21
2025-04-17 00:00:00+00:00,6.0,5.0,47,22
2025-04-18 00:00:00+00:00,18.0,4.0,30,16
2025-04-19 00:00:00+00:00,6.0,4.0,4,3
2025-04-20 00:00:00+00:00,12.0,4.0,16,12
2025-04-21 00:00:00+00:00,8.0,5.0,10,9
2025-04-22 00:00:00+00:00,12.0,6.0,16,14
2025-04-23 00:00:00+00:00,8.0,5.0,15,4
2025-04-24 00:00:00+00:00,8.0,4.0,9,9
2025-04-25 00:00:00+00:00,8.0,5.0,23,9
2025-04-26 00:00:00+00:00,8.0,4.0,6,3
2025-04-27 00:00:00+00:00,,,29,11
