time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-22 00:00:00+00:00,12.0,6.0,16,14
2025-04-23 00:00:00+00:00,8.0,5.0,15,4
2025-04-24 00:00:00+00:00,8.0,4.0,9,9
2025-04-25 00:00:00+00:00,8.0,5.0,23,9
2025-04-26 00:00:00+00:00,8.0,4.0,6,3
2025-04-27 00:00:00+00:00,4.0,3.0,32,12
2025-04-28 00:00:00+00:00,14.0,7.0,49,15
2025-04-29 00:00:00+00:00,9.0,6.0,36,20
2025-04-30 00:00:00+00:00,9.0,4.0,31,12
2025-05-01 00:00:00+00:00,7.0,4.0,52,10
2025-05-02 00:00:00+00:00,10.0,5.0,43,13
2025-05-03 00:00:00+00:00,7.0,5.0,5,4
2025-05-04 00:00:00+00:00,11.0,7.0,9,8
2025-05-05 00:00:00+00:00,,,39,21
