time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-03 00:00:00+00:00,7,5,5,4
2025-05-04 00:00:00+00:00,11,7,9,8
2025-05-05 00:00:00+00:00,5,3,39,21
2025-05-06 00:00:00+00:00,12,7,31,15
2025-05-07 00:00:00+00:00,2,2,36,13
2025-05-08 00:00:00+00:00,13,5,28,17
2025-05-09 00:00:00+00:00,10,6,42,19
2025-05-10 00:00:00+00:00,9,5,27,10
2025-05-11 00:00:00+00:00,4,4,30,17
2025-05-12 00:00:00+00:00,15,6,31,23
2025-05-13 00:00:00+00:00,8,4,35,22
2025-05-14 00:00:00+00:00,15,7,36,12
2025-05-15 00:00:00+00:00,10,6,32,16
2025-05-16 00:00:00+00:00,5,1,47,19
