time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-13 00:00:00+00:00,5,2,16,9
2025-04-14 00:00:00+00:00,10,3,39,22
2025-04-15 00:00:00+00:00,4,4,23,14
2025-04-16 00:00:00+00:00,11,4,42,21
2025-04-17 00:00:00+00:00,6,5,47,22
2025-04-18 00:00:00+00:00,18,4,30,16
2025-04-19 00:00:00+00:00,6,4,4,3
2025-04-20 00:00:00+00:00,12,4,16,12
2025-04-21 00:00:00+00:00,8,5,10,9
2025-04-22 00:00:00+00:00,12,6,16,14
2025-04-23 00:00:00+00:00,8,5,15,4
2025-04-24 00:00:00+00:00,8,4,9,9
2025-04-25 00:00:00+00:00,8,5,23,9
2025-04-26 00:00:00+00:00,6,2,6,3
