time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-07 00:00:00+00:00,13.0,11.0,16,12
2025-03-08 00:00:00+00:00,19.0,12.0,8,7
2025-03-09 00:00:00+00:00,20.0,13.0,20,15
2025-03-10 00:00:00+00:00,9.0,5.0,45,16
2025-03-11 00:00:00+00:00,8.0,4.0,45,25
2025-03-12 00:00:00+00:00,8.0,4.0,46,25
2025-03-13 00:00:00+00:00,7.0,3.0,27,11
2025-03-14 00:00:00+00:00,6.0,3.0,18,16
2025-03-15 00:00:00+00:00,10.0,3.0,13,10
2025-03-16 00:00:00+00:00,8.0,4.0,19,7
2025-03-17 00:00:00+00:00,11.0,4.0,46,22
2025-03-18 00:00:00+00:00,1.0,1.0,36,25
2025-03-19 00:00:00+00:00,10.0,4.0,47,11
2025-03-20 00:00:00+00:00,,,28,9
