time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-30 00:00:00+00:00,8,4,33,9
2025-03-31 00:00:00+00:00,10,6,28,15
2025-04-01 00:00:00+00:00,12,5,131,24
2025-04-02 00:00:00+00:00,13,7,36,18
2025-04-03 00:00:00+00:00,7,5,48,17
2025-04-04 00:00:00+00:00,14,9,44,7
2025-04-05 00:00:00+00:00,7,5,21,8
2025-04-06 00:00:00+00:00,11,4,14,8
2025-04-07 00:00:00+00:00,5,2,48,24
2025-04-08 00:00:00+00:00,8,4,41,17
2025-04-09 00:00:00+00:00,4,3,32,14
2025-04-10 00:00:00+00:00,8,4,23,12
2025-04-11 00:00:00+00:00,6,4,41,17
2025-04-12 00:00:00+00:00,5,1,13,9
