time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-18 00:00:00+00:00,7,3,63,23
2025-02-19 00:00:00+00:00,1,1,47,13
2025-02-20 00:00:00+00:00,7,3,17,13
2025-02-21 00:00:00+00:00,6,3,23,11
2025-02-22 00:00:00+00:00,10,3,14,9
2025-02-23 00:00:00+00:00,6,3,11,5
2025-02-24 00:00:00+00:00,8,3,16,13
2025-02-25 00:00:00+00:00,1,1,55,21
2025-02-26 00:00:00+00:00,9,3,29,15
2025-02-27 00:00:00+00:00,7,4,38,20
2025-02-28 00:00:00+00:00,7,3,13,10
2025-03-01 00:00:00+00:00,4,3,18,12
2025-03-02 00:00:00+00:00,6,2,14,10
2025-03-03 00:00:00+00:00,1,1,31,16
