time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-20 00:00:00+00:00,12,4,16,12
2025-04-21 00:00:00+00:00,8,5,10,9
2025-04-22 00:00:00+00:00,12,6,16,14
2025-04-23 00:00:00+00:00,8,5,15,4
2025-04-24 00:00:00+00:00,8,4,9,9
2025-04-25 00:00:00+00:00,8,5,23,9
2025-04-26 00:00:00+00:00,8,4,6,3
2025-04-27 00:00:00+00:00,4,3,32,12
2025-04-28 00:00:00+00:00,14,7,49,15
2025-04-29 00:00:00+00:00,9,6,36,20
2025-04-30 00:00:00+00:00,9,4,31,12
2025-05-01 00:00:00+00:00,7,4,52,10
2025-05-02 00:00:00+00:00,10,5,43,13
2025-05-03 00:00:00+00:00,1,1,5,4
