time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,7,4,38,20
2025-02-28 00:00:00+00:00,7,3,13,10
2025-03-01 00:00:00+00:00,4,3,18,12
2025-03-02 00:00:00+00:00,6,2,14,10
2025-03-03 00:00:00+00:00,6,3,31,16
2025-03-04 00:00:00+00:00,16,9,15,10
2025-03-05 00:00:00+00:00,9,6,41,21
2025-03-06 00:00:00+00:00,22,14,69,20
2025-03-07 00:00:00+00:00,13,11,16,12
2025-03-08 00:00:00+00:00,19,12,8,7
2025-03-09 00:00:00+00:00,20,13,20,15
2025-03-10 00:00:00+00:00,9,5,45,16
2025-03-11 00:00:00+00:00,8,4,45,25
2025-03-12 00:00:00+00:00,6,2,46,25
